partId,challonge_id,gg_discriminator,display_name
18065363,,,KurtTheHedgeHog
18065364,,,RGN
18065365,913769,,Adico
18065366,,,Magic Man
18065367,952858,,Prutte
18065368,916304,,Mecha Soul
18065369,914172,,hellsdiktator
18065370,646343,,Shadowstew
18065371,,,SuperWaffle
18065372,913949,,Asdeef
18065373,920494,,Thundercleez
18065374,384982,,Wasserstern
18065375,,,SUPER1337JORMA(does not exist, dummy player according to Pull)
18065376,911598,,Rad Dragon
18065377,,,The Jiggler
18065378,,,Barbariandude
18065379,,,Trickster=P
18065380,,,The Wiggler
18065381,,,Frozone
18065382,915956,,Dolphinjon
18065383,917528,,Flippo
18065384,,,levidegraaf
18065385,,,A Really Recognizable Name
18065386,,,Raven
18065387,890473,,DipG
18065388,914867,,BenTheDragon
18065389,911628,,virtual bart
18065390,,,AyYoLado
18065391,804142,,Ulti
18065392,914794,,Dormoxx
18065393,25037,,NatureDown
18065394,916044,,Pull
18065395,915902,,Apperatus
18065396,,,Kriptrix
18065397,,,Arrestedrabbit
18065398,888884,,Ugraum Grableg
18065399,,,Nova
18065400,915672,,invaLyD
18065401,,,Dj Bro
18065402,915044,,Doobinn
18065403,915947,,YinYin
18065404,914000,,POWERGLOVE
18065405,917497,,A Lost Pulse
18065406,923026,,Panarchy
18065407,,,knls
18065408,916060,,G*R Shukusei
18065409,,,Weaker Ink
18065410,938856,,FITZMEISTER
18065412,911518,,BadShot
18065413,,,hendrix
18065414,677349,,Dzuh
18065415,,,Pkrockinomega
18065416,914444,,Tenerus
18065417,914153,,Jestah_J
18065418,,,obiiwan
18065419,,,FujiSyusuke808
18065420,,,Delta is Insane
18065421,,,Klaus Veen
18065422,,,Cactussmasta
18065423,929378,,Rockboo16
18065424,916733,,AnbuBlackOps
18065425,,,switchflip
18179888,,,SeargantBosco
18185065,,,TomatoSuede
18179897,914153,,Jestah_J
18179899,913992,,flutterguy44
18179903,,,walnutcon
18179889,916755,,FaceButtMcGee
18179891,916756,,TheDoctorAwesome
18179893,915902,,Apperatus
18179894,,,ZoneSpyker
18179895,,,Uta-kun
18179896,914172,,hellsdiktator
18179898,,,MrMegido
18197802,,,stewartisme
18179900,,,foxesOSGN
18197804,,,Codenum
18179901,,,Blarget2
18197803,1107764,,FangXs
18179902,914794,,Dormoxx
18186195,917349,,LeoTaku
18179904,916681,,Tremor41
18179905,916044,,Pull
18179906,914000,,POWERGLOVE
18179907,974607,,Jgossy
18179908,677349,,Dzuh
18197801,916558,,WorstWizard
18205708,916304,,MechaSoul
18229246,935480,,AfterGlow
18932347,948327,,VoidInsanity
18932390,949897,,MrBlargable
19021527,925257,,xnas
19109302,915818,,DC_LL
19191511,804142,,Ulti
19422999,973271,,NoNsToPxs
19436753,633574,,Misterthewizard
19436745,152588,,Blarget2
19436765,952547,,That_Latch
19436754,936492,,Xanpanman
19436750,947554,,uVeins
19451155,890473,,DipG
19891958,,,Supermaaaan
19982039,993572,,raptorjesus42
20304253,986884,,Slasher1416
22123863,,,MrBreadedchicken
22605014,,,SOups
23773581,,,Counter Queen
24915662,1117562,,GoldenSheep
26678924,,,SirHungwell
27933822,935438,,Nobody
27933825,979332,,Adnarel
28237511,1285795,,Asipiter
29913624,800654,,N64
29913627,1140368,,K9999
29913630,1252919,,N¡CE!
29913636,994083,,Bad Joe
29913635,1104463,,iHeartCake
29913625,1281213,,ZimDaFox
29913633,1057263,,Bitnix
29913628,1350622,,CloudyNinja
31169281,1105391,,ThatGuy4878
33517546,994083,,Bad Joe
33710396,1350622,,CloudyNinja
44050073,1847656,,bTrunken
132668022,,,Mishko1
132581525,1872029,,Candyman145
132764012,4571785,,AnKSoup
132767728,3199869,,AoRubi
132701204,,,igoesRAWRRRRR
159152545,3163951,,AlluringLynx
