name,challonge_id,country,blaze_main,blaze_secondary,l1_main,l1_secondary
aTastyT0ast,1068767,de,random,candy,random,raptor
unclefat,6923866,uk,dna,,,
Xanpanman,936492,us,switch,candy,,
biscuit,6225013,pl,toxic,,,
b3b3,2885416,br,candy,switch,sonata,random
r3_routing,5948303,dk,random,,,
glomzubuk,2116397,fr,random,,latch,
Kerbe,3511265,es,toxic,nitro,sonata,
fluke,1213518,uk,doom,random,random,
baltikus,5516015,no,candy,,,
hyhy,1012929,uk,doom,,,
kkb,6586940,us,dna,nitro,,
imt,3319388,us,candy,,,
suibaan,6360583,es,sonata,grid,,
jawdrop,2436341,fr,candy,sonata,sonata,
Manticore,3398726,us,jet,candy,,
encrian,4873327,us,latch,,,
very epic,5789827,ca,nitro,,,
kyresd,4138787,us,doom,,,
justgas,4734634,us,switch,raptor,,
south,3935736,us,sonata,candy,,
kirb,3168901,us,nitro,,,
kenot,6205820,no,random,,,
vadium,5579841,us,sonata,raptor,,
swagalot,3161050,si,candy,,,
desselie,3423262,de,toxic,,,
Nujia,4881453,us,candy,sonata,,
macky,4848359,us,toxic,nitro,,
AL,3163951,pt,sonata,doom,dice,
spex,5448628,si,raptor,,,
anthonyiye,3114483,us,nitro,,,
LemonTally,5454137,,jet,random,,
amanda,5387093,us,sonata,,,
DodgeDrafter,5359434,us,dice,,,
.jretion,3192240,ca,grid,dice,,
twz,4908276,,dna,sonata,,
drazword,6155013,sv,doom,,,
cactos,3960640,us,sonata,,,
meller,2846889,us,sonata,,,
regi,6810550,uk,raptor,,,
arcadia,3311431,be,candy,switch,,
bitnix,1057263,au,switch,jet,,
gander,3204616,es,dice,switch,,
mauri,3561653,nl,candy,random,,
wallis,4260889,us,grid,,,
rypper,3341760,us,raptor,,,
cherry,3443217,de,dna,doom,,
serchiot,479579,de,dice,,,
nemil,948346,de,switch,,,
nether,4875199,fr,candy,,,
voffer,5083901,se,grid,,,
haru,1879967,us,switch,doom,switch,sonata
daio,1511697,uk,dice,,,
papple,4050960,us,candy,,,
ssd,3528397,us,dice,,,
cm145,1872029,us,raptor,switch,candy,switch
slayer,1250909,us,doom,dna,raptor,
maffew,1033056,us,grid,toxic,random,
neer,3163954,gr,jet,,,
shffl,800654,us,sonata,,,
scooter,1222913,us,jet,,,
gentle,1053335,no,latch,,sonata,
boog,2826240,us,candy,,,
mylo,1182100,,switch,,raptor,
nupperz,816935,us,switch,,,
swanky,3235677,us,switch,,,
monk,845200,us,candy,,,
jjk,4283335,de,latch,random,,
yin,915947,de,random,,,
mango,2534513,uk,latch,sonata,,
guunter,3464077,us,sonata,,,
tixl,931749,us,switch,,,
mecha,916304,ca,sonata,dice,,
pull,916044,fi,sonata,,,
smelly,313471,us,candy,,,
apperatus,915902,us,raptor,,,
tickle,952288,us,latch,,,
tenshinara,1188585,us,grid,,candy,raptor
spigils,1161033,us,candy,,,
orion,1045816,fr,sonata,,,
butters,1162494,us,candy,,,
shftd,915753,se,raptor,,,
ThatGuy4878,1105391,ca,latch,switch,,
saxxy,1108323,ar,switch,,,
tenerus,914444,,latch,,,
pikachad,599865,,switch,,,
morph,1169915,us,candy,,,
jawbreaker,1051369,us,candy,,,
redacted,890473,,sonata,latch,,
arakune,75251,us,latch,,,
uveins,947554,,raptor,,,
NatureDown,25037,,raptor,,,
doobinn,915044,,latch,,,
adnarel,979332,us,candy,,,
grimpill,925277,fi,raptor,,,
The Grand Optimist,945808,,candy,,,
mio,1367623,uk,candy,,,
glio,391381,fr,sonata,,,
ugraum,888884,us,dice,latch,,
powerglove,914000,de,,,,
shadowspaz,914973,us,latch,,,
kuchi,1104461,eu,candy,switch,,
goldensheep,1117562,us,switch,,,
iheartcake,1104463,,candy,,,
nobody,3144513,us,candy,,,
k9,1140368,us,jet,doom,dice,
prome,931656,us,jet,dna,candy,
wasserstern,384982,de,candy,,,
jestah,914153,us,,,,
jotun,577868,,raptor,,,
peggle,800263,,raptor,,,
diplo,1217208,us,dice,latch,,
ulti,804142,ch,latch,,,
s4wtooth,949861,,switch,,,
hang,2262132,de,random,,,
bmo,1188588,,latch,sonata,,
samoe,915699,us,,,,
Cactipus,979328,na,switch,,,
ice coldas,1199842,nl,raptor,candy,,
tenasow,1013356,dk,,,,
lalou,2846390,fr,raptor,,,
leotaku,917349,us,,,,
takeoutmenu,990151,,dice,,,
Crafekster,931220,no,sonata,,,
nicee,1252919,,latch,,,
quals,981370,,candy,,,
flutter,913992,us,,,,
batter,923986,eu,raptor,,,
lost pulse,917497,,dice,,,
release,925429,,raptor,,,
keymakr,366156,,switch,,,
grandma,962716,us,raptor,,,
monty,982641,us,toxic,,candy,
badshot,911518,us,sonata,,,
Zea,1032784,eu,sonata,,,
bobzilla,2642545,uk,switch,candy,switch,raptor
jgossy,974607,us,,,,
dzuh,677349,uk,switch,,,
tikiface,987140,,switch,,,
blarget,152588,us,,,,
TR_tim,1173749,nl,random,,,
worstwizard,916558,dk,,,,
meku,928976,ca,,,random,
SaucR,1121762,de,candy,raptor,,
giantrat,3383598,uk,sonata,candy,,
coffee,3161229,us,grid,,,
chrolloh,4954856,us,switch,dice,,
masoff,5363935,us,latch,nitro,,
wolfgang,3253284,us,sonata,,,
falco,3493198,fr,dna,latch,sonata,raptor
RedBlueJ,1365966,us,dice,latch,dice,latch
CloudyNinja,1350622,au,,,,
roxai,1531501,eu,,,,
Dark_Achon,1285067,eu,,,,
Dahut,1089332,eu,,,,
Nonstopxs,973271,eu,,,,
Voidu,1089301,eu,,,,
Ebolaboy,1217221,eu,,,,
Zoombie,1139727,eu,,,,
klbk,1288541,eu,,,,
Rudey24,1286080,eu,,,,
Sunseille,989337,fr,dice,raptor,,
Randomentalist,979337,eu,,,,
FreakingWesley,1106743,eu,,,,
HappyEnts,1053562,eu,,,,
TheGr8P8,1045873,eu,,,,
Metro78,1043367,eu,,,,
SynthScream,1017512,eu,,,,
raptorjesus42,993572,eu,,,,
ZO90JNMGFID8S89O34IS,1105486,eu,,,,
Luciiferø,1257915,eu,,,,
Nooodle,1159741,eu,,,,
ZeCee,525122,eu,,,,
theExcelsior,1069498,eu,,,,
NoobWasTaken,1080295,eu,switch,dice,,
Prutte,952858,eu,raptor,latch,,
OSTVFR,1151764,eu,,,,
xerinox,1053334,eu,,,,
davedog,1062690,eu,,,,
SatoshiKen,1102679,eu,,,,
Starbucks_,1045833,eu,,,,
Grnds,1080313,eu,,,,
StickyBassline,771324,eu,,,,
FrostyChan,984598,eu,,,,
Estate,889506,eu,,,,
ProspereLucel,945264,eu,,,,
xnas,925257,eu,,,,
Hoola,345390,eu,,,,
kukoev,527910,eu,,,,
thifofdeath,1006943,eu,,,,
ZeroZ30o,944095,eu,,,,
ErebusFOG,985510,eu,,,,
KaTiON,927868,pt,,,,
weslyv8,927889,eu,,,,
Makzutheamazing,917480,eu,,,,
