display_name,challonge_id,yt_channel_ids
aTastyT0ast,1068767,UCy3G3eHGhSMSNp5kkxnn-HQ
B3B3,2885416,UC-TqU8-BHYurn_DASihMAeA;UCavV3iBVeS1-qQmgZ0Phdvw
eonlingxi,7745520,UCRbPmdR5_lkaY8t6yw9e5hA
Reaps,6986952,UCEJ-5Rhj3zqTxLEtjIxnO8g
avg_duck,6856916,UCyg-qdkwkEwzcPKWCYm7wSg
hyhy,1012929,UC-ED-6uf9KLG5RwBv_mPFvQ
justgas,4734634,UCNvBYsWxqOZ-P1cX5nxC2tg
jawdrop,2436341,UCFT5qgmYILFFNsHVoZqXKkw
masoff,5363935,UCP-yZMq-K-RSP2yGVOLqCzw
Daver6566,2714018,UCpIWXEkdnPE00053k0s7VYg
daio,1511697,UCXqA_OUmgrNu5dzK6Ga5nNg
kyresd,4138787,UCaTaRcPuSflZiTXiAy9K65g
cactos,3960640,UCJ03lDtPgKuuTTG8WWM7RUA
baltikus,5516015,UCb3FxJL15-B_5kCQc4TaLSQ
kirb,3168901,UCyESG64gL9mrFEgroLUBNzA;UC1RUwvhTNar7tUQ3MmSAC4g;UCS9G4HnFPIIRalLA0Ry3X9Q
AoRubi,3199869,UCb3dHRJeqINq9vABwd4XWEw
haru,1879967,UC7x5MCb2N2AzXeka7EvRWbg
ThatGuy4878,1105391,UCh8V1QlZ7MWw4WQlqd0kBXA
Uranus_DOng,5415253,UCe_XvvDI_jaq-vkQ7Yjo6Pg
anthonyiye,3114483,UCsC3lNqeGvRaqI6vpp0-Ltg
macky,4848359,UC4ShHptGhRL_UX5VtJLGY_Q
meku,928976,UCKyemOr1vz9mgcBd6SsJwCQ
nether,4875199,UCpWBtjZsoLFwLsYOjIx6L1g
ohmytoast,3104755,UC8jmJicMKeUmbPyU5cmdgEw
paralin,1068788,UCMmABPqDesnwzYP54jUQuUQ
prome,931656,UCVm5qbPZDpzdzXgKnBpHlmg
psyan,6949525,UCkR5T5Dy1WXuBmzN3UlJ0uA
pull,916044,UCSwDvEZ-fcM3288COs4V29A
jawbreaker,1051369,UCu35hLtEKfok9kkVAX2Uguw
sikowny,2884596,UC2diwuy4BEvQOJsG-i2Zymw
SkyBungis,3427061,UC1ytvmnp4jU98RqbGOAzOVA
south,3935736,UCBlndG9ZM23J8jeHU2PB3nw
suibaan,6360583,UCp4kH2WBjYVosyxtvkrVBOA
tenshinara,1188585,UCNb571LYt1NnRFucnDCQxqQ
unclefat,6923866,UCW9mxOj7KvQ8ZAse6Yf-sqw
Vanille6213,7719481,UCoONhM71BhX4ANDSTU9B45A
very epic,5789827,UCVlQU1Z3iHyuEyLzyndkJ4w
wevyjev,3768517,UCt2sHEDa_VO-Z5uDk5yVyDQ
xTheVortex,1017541,UCSSq8OcGyDVtR2OvzdumqdQ
yin,915947,UCjrvD4tTRbDB9T3OH2V8mBg
LaZeRpan,3453088,UC6RG_MWvICpvEQhWG2yBdQg
Rhino1004,3398726,UC3ifh02K7Zh-GdA-rOHHUKA
anksoup,4571785,UCceXBU4rvdhbzpxP-Pi6oWQ
cherry,3443217,UCvlYi66eJgc-enKahcJDkbw
Chimpmoney,4735258,UCEURROd2Co_CYdyizgqtK0Q
chrolloh,4954856,UCXmD--4OSyG95YwvnGmsbPQ
coffee,3161229,UCHmsfPr7hv8QgLKNEwUVDnQ
croak,5215625,UCqpxXjounZE7sameCcWiZ_g
desselie,3423262,UC4WK8GKjiaEpzbG_y_kdvsw;UCmLwiNroT6U6QpTzygCrdDw
dizzy,3266974,UC2QzihcZiwK3YwXyFz87TeQ
EmDotTwo,4359386,UCWjULtJfa63fUlrnuWmI90A
hang,2262132,UCKrFqacLUzVZvY-Cx4WUI6w
icecoldas,1199842,UCXDUkdLNR1H4Pzio2ekOt1Q
jjk,4283335,UCTIWssTJQ02CULsz_hhgqMw
k9,1140368,UCMbtiRbh6qOsHxE8fdBLYAw
kenot,6205820,UC7T24X-50FvFFRzatTXcoXA
smalls_,7455426,UCN0hNXBIRDvdjA7Mg4M0nOg
Kerbe,3511265,UCRDxbGKsk2vw3_WriHf6Eeg
pawlogates,5360333,UCL4yDiwgeMxJFP8gu1mas-A
